6,73.33,13.33,3.33,0,6.67
17.5,26.67,40,13.33,3.33,13.33
24,23.33,26.67,20,16.67,10
25,23.33,26.67,20,13.33,13.33
37.5,20,16.67,10,13.33,43.33
46.5,6.67,13.33,10,23.33,33.33
50,0,13.33,23.33,3.33,40
46,10,6.67,20,20,53.33
